caldt,prtnam,totret
1944-05-31,1,0.045500
1944-06-30,1,0.042003
1944-07-31,1,-0.014704
1944-08-31,1,0.010632
1944-09-30,1,0.000509
1944-10-31,1,0.003377
1944-11-30,1,0.016467
1944-12-30,1,0.031926
1945-01-31,1,0.012669
1945-02-28,1,0.053833
1945-03-31,1,-0.032740
1945-04-30,1,0.071498
1945-05-31,1,0.016314
1945-06-30,1,-0.006526
1945-07-31,1,-0.013506
1945-08-31,1,0.055673
1945-09-29,1,0.039703
1945-10-31,1,0.031219
1945-11-30,1,0.038004
1945-12-31,1,0.007495
1946-01-31,1,0.053304
1946-02-28,1,-0.052018
1946-03-30,1,0.052084
1946-04-30,1,0.040882
1946-05-31,1,0.029188
1946-06-28,1,-0.029911
1946-07-31,1,-0.019528
1946-08-30,1,-0.061672
1946-09-30,1,-0.088081
1946-10-31,1,-0.013972
1946-11-30,1,0.002264
1946-12-31,1,0.046112
1947-01-31,1,0.010187
1947-02-28,1,-0.011433
1947-03-31,1,-0.011397
1947-04-30,1,-0.031588
1947-05-29,1,0.002966
1947-06-30,1,0.050673
1947-07-31,1,0.033651
1947-08-29,1,-0.017078
1947-09-30,1,-0.010482
1947-10-31,1,0.022829
1947-11-29,1,-0.014006
1947-12-31,1,0.031952
1948-01-31,1,-0.045079
1948-02-28,1,-0.036987
1948-03-31,1,0.070391
1948-04-30,1,0.035817
1948-05-28,1,0.070476
1948-06-30,1,0.007598
1948-07-30,1,-0.048313
1948-08-31,1,0.004988
1948-09-30,1,-0.024104
1948-10-30,1,0.063493
1948-11-30,1,-0.086541
1948-12-31,1,0.036651
1949-01-31,1,-0.001633
1949-02-28,1,-0.028414
1949-03-31,1,0.035661
1949-04-30,1,-0.012659
1949-05-31,1,-0.028230
1949-06-30,1,0.002643
1949-07-29,1,0.054684
1949-08-31,1,0.029440
1949-09-30,1,0.026632
1949-10-31,1,0.033716
1949-11-30,1,0.018160
1949-12-31,1,0.045386
1950-01-31,1,0.011339
1950-02-28,1,0.014443
1950-03-31,1,0.019954
1950-04-29,1,0.041835
1950-05-31,1,0.049755
1950-06-30,1,-0.050526
1950-07-31,1,0.005093
1950-08-31,1,0.051379
1950-09-29,1,0.044247
1950-10-31,1,0.003674
1950-11-30,1,0.024929
1950-12-30,1,0.050060
1951-01-31,1,0.051960
1951-02-28,1,0.015648
1951-03-31,1,-0.015856
1951-04-30,1,0.054150
1951-05-31,1,-0.023529
1951-06-29,1,-0.018369
1951-07-31,1,0.071499
1951-08-31,1,0.045958
1951-09-28,1,0.000089
1951-10-31,1,-0.022482
1951-11-30,1,0.003623
1951-12-31,1,0.041221
1952-01-31,1,0.015669
1952-02-29,1,-0.028438
1952-03-31,1,0.052812
1952-04-30,1,-0.050626
1952-05-29,1,0.035031
1952-06-30,1,0.044648
1952-07-31,1,0.010023
1952-08-29,1,-0.009676
1952-09-30,1,-0.020444
1952-10-31,1,-0.001685
1952-11-28,1,0.059827
1952-12-31,1,0.034154
1953-01-30,1,-0.008657
1953-02-27,1,-0.005068
1953-03-31,1,-0.014851
1953-04-30,1,-0.027722
1953-05-29,1,0.007225
1953-06-30,1,-0.011454
1953-07-31,1,0.029200
1953-08-31,1,-0.043248
1953-09-30,1,0.006210
1953-10-30,1,0.049877
1953-11-30,1,0.030057
1953-12-31,1,0.004431
1954-01-29,1,0.047893
1954-02-26,1,0.017434
1954-03-31,1,0.040271
1954-04-30,1,0.055240
1954-05-28,1,0.026630
1954-06-30,1,0.009836
1954-07-30,1,0.042165
1954-08-31,1,-0.025272
1954-09-30,1,0.075246
1954-10-29,1,-0.020154
1954-11-30,1,0.093958
1954-12-31,1,0.048000
1955-01-31,1,0.005523
1955-02-28,1,0.025780
1955-03-31,1,-0.003551
1955-04-29,1,0.038279
1955-05-31,1,0.011887
1955-06-30,1,0.083687
1955-07-29,1,0.028363
1955-08-31,1,0.001997
1955-09-30,1,0.005672
1955-10-31,1,-0.028865
1955-11-30,1,0.077164
1955-12-30,1,0.015000
1956-01-31,1,-0.029035
1956-02-29,1,0.041511
1956-03-29,1,0.073261
1956-04-30,1,0.006582
1956-05-31,1,-0.055947
1956-06-29,1,0.040112
1956-07-31,1,0.052661
1956-08-31,1,-0.035634
1956-09-28,1,-0.052870
1956-10-31,1,0.006749
1956-11-30,1,0.003515
1956-12-31,1,0.037484
1957-01-31,1,-0.045638
1957-02-28,1,-0.017819
1957-03-29,1,0.023043
1957-04-30,1,0.053778
1957-05-31,1,0.041053
1957-06-28,1,0.000530
1957-07-31,1,0.012346
1957-08-30,1,-0.046639
1957-09-30,1,-0.060299
1957-10-31,1,-0.034721
1957-11-29,1,0.023205
1957-12-31,1,-0.037268
1958-01-31,1,0.033895
1958-02-28,1,-0.017575
1958-03-31,1,0.033274
1958-04-30,1,0.031259
1958-05-29,1,0.019879
1958-06-30,1,0.029371
1958-07-31,1,0.041185
1958-08-29,1,0.016878
