caldt,vwretd,vwretx,usdval,usdcnt
1926-03-04,0.042271,0.042271,14105655.60,82
1926-03-05,0.003787,0.003059,14701937.10,82
1926-03-06,-0.004807,-0.004807,14676541.00,81
1926-03-08,-0.004643,-0.004643,14605991.50,81
1926-03-09,0.005346,0.004917,14608554.50,82
1926-03-10,0.009818,0.009818,14680387.50,82
1926-03-11,0.006455,0.006398,14824514.00,82
1926-03-12,0.003321,0.003032,14919365.60,82
1926-03-13,-0.017525,-0.017525,14964596.60,82
1926-03-15,0.003143,0.002884,14702345.90,82
1926-03-16,-0.003979,-0.003979,14744748.60,82
1926-03-17,-0.004902,-0.004937,14686072.20,82
1926-03-18,-0.012170,-0.012573,14613571.80,82
1926-03-19,-0.005740,-0.005852,14429830.10,82
1926-03-20,0.001846,0.001846,14345388.80,82
1926-03-22,0.008015,0.008015,14371874.50,82
1926-03-23,-0.006485,-0.006485,14487066.10,82
1926-03-24,-0.016472,-0.016472,14393115.40,82
1926-03-25,-0.001399,-0.001540,14156024.90,82
1926-03-26,0.002685,0.002169,14134227.20,82
1926-03-27,-0.010038,-0.010038,14028156.50,81
1926-03-29,-0.022317,-0.022425,13887337.10,81
1926-03-30,-0.012175,-0.012175,13711143.10,82
1926-03-31,0.034989,0.034544,13544208.40,82
1926-04-01,0.003967,0.003303,13996431.80,81
1926-04-03,-0.000236,-0.000236,13732567.20,79
1926-04-05,0.005100,0.005100,13745034.80,80
1926-04-06,0.009555,0.009555,14127728.80,82
1926-04-07,-0.004164,-0.004164,13893112.40,81
1926-04-08,-0.004319,-0.004319,13819225.80,80
1926-04-09,0.000677,0.000405,14129148.10,81
1926-04-10,-0.003047,-0.003047,14150859.90,82
1926-04-12,-0.019107,-0.019107,14107746.20,82
1926-04-13,0.010267,0.010166,13822439.60,81
1926-04-14,-0.012908,-0.013064,13962952.40,81
1926-04-15,0.002818,0.002628,13780541.20,81
1926-04-16,0.000042,-0.000336,13816751.40,81
1926-04-17,0.002807,0.002807,13812112.90,81
1926-04-19,0.000777,0.000777,13866277.60,82
1926-04-20,0.004656,0.004656,13877050.70,82
1926-04-21,0.015531,0.015468,13941661.10,82
1926-04-22,0.009272,0.009272,14157306.10,82
1926-04-23,0.011533,0.011501,14288573.80,82
1926-04-24,0.006770,0.006770,14437951.90,81
1926-04-26,-0.006923,-0.006923,14535690.20,81
1926-04-27,-0.001158,-0.001158,14450207.10,82
1926-04-28,0.006942,0.006942,14433474.60,82
1926-04-29,0.001811,0.001364,14533673.50,82
1926-04-30,-0.002338,-0.003643,14553498.40,82
1926-05-01,-0.001858,-0.001858,14236582.20,81
1926-05-03,-0.016543,-0.016543,14194524.80,80
1926-05-04,0.004776,0.004776,14221501.50,81
1926-05-05,0.001722,0.001722,14289429.40,81
1926-05-06,0.002038,0.002038,14314042.10,81
1926-05-07,-0.008789,-0.008941,14343208.20,81
1926-05-08,-0.000664,-0.000664,14230118.10,82
1926-05-10,-0.004460,-0.004622,14205568.40,81
1926-05-11,0.000599,0.000263,14139482.60,81
1926-05-12,0.003519,0.003519,14143196.10,81
1926-05-13,-0.002317,-0.002317,14208141.40,82
1926-05-14,-0.001665,-0.001858,14262560.80,83
1926-05-15,-0.002386,-0.002386,14236068.90,83
1926-05-17,-0.000567,-0.000567,14202102.90,83
1926-05-18,-0.001398,-0.001398,14194046.80,83
1926-05-19,-0.001767,-0.001852,14158332.90,82
1926-05-20,0.009557,0.009111,14132112.60,82
1926-05-21,0.007051,0.007051,14260874.50,82
1926-05-22,0.004523,0.004523,14247041.50,81
1926-05-24,0.002977,0.000904,14311478.40,81
1926-05-25,0.004020,0.004020,14438796.10,82
1926-05-26,0.006062,0.006062,14496839.40,82
1926-05-27,0.002671,0.002317,14600513.10,83
1926-05-28,0.006871,0.006047,14689965.50,84
1926-06-01,-0.004991,-0.006218,14778795.50,84
1926-06-02,0.004769,0.004769,14686905.80,84
1926-06-03,0.004452,0.004452,14756940.50,84
1926-06-04,0.001589,0.000412,14822646.20,84
1926-06-05,0.000211,0.000211,14674861.60,83
1926-06-07,0.001872,0.001381,14677959.90,83
1926-06-08,0.001040,0.000925,14842558.60,84
1926-06-09,0.000579,0.000480,14856282.20,84
1926-06-10,0.001475,0.001475,14863419.20,84
1926-06-11,0.009138,0.009000,14885345.20,84
1926-06-12,0.006479,0.006479,15019315.90,84
1926-06-14,0.005434,0.005405,15116626.70,84
1926-06-15,0.000072,-0.000594,15198325.40,84
1926-06-16,0.005739,0.005739,15173215.80,83
1926-06-17,0.008465,0.008377,15260293.10,83
1926-06-18,-0.007409,-0.007637,15388136.00,83
1926-06-19,0.008156,0.008156,15286476.80,84
1926-06-21,0.003165,0.003061,15411160.60,84
1926-06-22,0.002162,0.002162,15458330.40,84
1926-06-23,-0.007393,-0.007393,15491744.40,84
1926-06-24,0.002784,0.002784,15377207.00,84
1926-06-25,-0.002794,-0.003859,15420012.40,84
1926-06-26,-0.000521,-0.000521,15114638.60,83
1926-06-28,0.002784,0.002744,15091027.10,82
1926-06-29,0.005671,0.005671,15378305.20,83
1926-06-30,0.002463,0.001810,15465464.60,83
1926-07-01,0.002716,0.002667,15554633.50,83
1926-07-02,0.004275,0.004056,15386395.80,82
1926-07-06,0.000781,0.000781,15448798.50,82
1926-07-07,0.002074,0.002074,15676350.40,83
1926-07-08,0.002242,0.002242,15724408.40,84
1926-07-09,-0.007629,-0.007941,15759666.60,84
1926-07-10,0.006689,0.006689,15634519.10,84
1926-07-12,0.001369,0.001280,15687959.20,83
1926-07-13,0.005007,0.005007,15708039.30,83
1926-07-14,0.000770,0.000770,15837826.80,84
1926-07-15,-0.004439,-0.005000,15850028.10,84
1926-07-16,0.005231,0.004963,15496376.60,83
1926-07-17,0.004408,0.004408,15361274.10,82
1926-07-19,0.000239,0.000239,15687531.20,82
1926-07-20,-0.006844,-0.006901,15630631.10,82
1926-07-21,-0.004943,-0.005008,15538304.80,83
1926-07-22,-0.007862,-0.007862,15732091.40,84
1926-07-23,0.000200,-0.000090,15608407.00,84
1926-07-24,-0.000682,-0.000682,15559036.00,83
1926-07-26,0.006141,0.006141,15548420.80,83
1926-07-27,0.004131,0.004131,15692166.50,84
1926-07-28,0.011802,0.011802,15761402.40,83
1926-07-29,0.005824,0.005824,15808651.20,82
1926-07-30,0.002755,0.002452,15916292.70,83
1926-07-31,0.006015,0.006015,16083708.80,83
1926-08-02,0.007214,0.006752,16180459.20,83
1926-08-03,0.006434,0.006300,16299302.70,84
1926-08-04,-0.004990,-0.004990,16401981.90,84
1926-08-05,-0.000877,-0.000877,16148952.90,82
1926-08-06,0.007379,0.007379,16134782.90,82
1926-08-07,0.005109,0.005109,16409458.20,83
1926-08-09,0.001313,0.001313,16493299.60,83
1926-08-10,-0.016169,-0.016738,16514951.20,83
1926-08-11,-0.005923,-0.005923,16238520.10,83
