DlyCalDt,INDNO,_NAME_,_LABEL_,COL1
19881012,1000080,DlyTotRet,Daily Total Return on Index,-0.011645222
19881013,1000080,DlyTotRet,Daily Total Return on Index,0.003118995
19881014,1000080,DlyTotRet,Daily Total Return on Index,0.0013732492
19881017,1000080,DlyTotRet,Daily Total Return on Index,0.0022507116
19881018,1000080,DlyTotRet,Daily Total Return on Index,0.0080181691
19881019,1000080,DlyTotRet,Daily Total Return on Index,-0.006201649
19881020,1000080,DlyTotRet,Daily Total Return on Index,0.0162911909
19881021,1000080,DlyTotRet,Daily Total Return on Index,0.0019705677
19881024,1000080,DlyTotRet,Daily Total Return on Index,-0.003002216
19881025,1000080,DlyTotRet,Daily Total Return on Index,-0.00014069
19881026,1000080,DlyTotRet,Daily Total Return on Index,-0.002923435
19881027,1000080,DlyTotRet,Daily Total Return on Index,-0.012591292
19881028,1000080,DlyTotRet,Daily Total Return on Index,0.0034908382
19881031,1000080,DlyTotRet,Daily Total Return on Index,0.0005311523
19881101,1000080,DlyTotRet,Daily Total Return on Index,0.0005629587
19881102,1000080,DlyTotRet,Daily Total Return on Index,-0.000055622
19881103,1000080,DlyTotRet,Daily Total Return on Index,0.0010095236
19881104,1000080,DlyTotRet,Daily Total Return on Index,-0.007441378
19881107,1000080,DlyTotRet,Daily Total Return on Index,-0.009247597
19881108,1000080,DlyTotRet,Daily Total Return on Index,0.0039889386
19881109,1000080,DlyTotRet,Daily Total Return on Index,-0.004912809
19881110,1000080,DlyTotRet,Daily Total Return on Index,0.0012923289
19881111,1000080,DlyTotRet,Daily Total Return on Index,-0.017232246
19881114,1000080,DlyTotRet,Daily Total Return on Index,-0.001801698
19881115,1000080,DlyTotRet,Daily Total Return on Index,0.0018125096
19881116,1000080,DlyTotRet,Daily Total Return on Index,-0.014876552
19881117,1000080,DlyTotRet,Daily Total Return on Index,0.0010229018
19881118,1000080,DlyTotRet,Daily Total Return on Index,0.0058776837
19881121,1000080,DlyTotRet,Daily Total Return on Index,-0.00124826
19881122,1000080,DlyTotRet,Daily Total Return on Index,0.0028979027
19881123,1000080,DlyTotRet,Daily Total Return on Index,0.0062761988
19881125,1000080,DlyTotRet,Daily Total Return on Index,-0.00455614
19881128,1000080,DlyTotRet,Daily Total Return on Index,0.0035475285
19881129,1000080,DlyTotRet,Daily Total Return on Index,0.0078657596
19881130,1000080,DlyTotRet,Daily Total Return on Index,0.0091651699
19881201,1000080,DlyTotRet,Daily Total Return on Index,-0.00130087
19881202,1000080,DlyTotRet,Daily Total Return on Index,-0.00182471
19881205,1000080,DlyTotRet,Daily Total Return on Index,0.0085510288
19881206,1000080,DlyTotRet,Daily Total Return on Index,0.0080536339
19881207,1000080,DlyTotRet,Daily Total Return on Index,0.0014597759
19881208,1000080,DlyTotRet,Daily Total Return on Index,-0.004301728
19881209,1000080,DlyTotRet,Daily Total Return on Index,0.0014421103
19881212,1000080,DlyTotRet,Daily Total Return on Index,-0.001510494
19881213,1000080,DlyTotRet,Daily Total Return on Index,-0.001414873
19881214,1000080,DlyTotRet,Daily Total Return on Index,-0.002844894
19881215,1000080,DlyTotRet,Daily Total Return on Index,-0.00291947
19881216,1000080,DlyTotRet,Daily Total Return on Index,0.006386463
19881219,1000080,DlyTotRet,Daily Total Return on Index,0.0070593999
19881220,1000080,DlyTotRet,Daily Total Return on Index,-0.002808169
19881221,1000080,DlyTotRet,Daily Total Return on Index,-0.00023913
19881222,1000080,DlyTotRet,Daily Total Return on Index,-0.000522072
19881223,1000080,DlyTotRet,Daily Total Return on Index,0.0039818069
19881227,1000080,DlyTotRet,Daily Total Return on Index,-0.002732512
19881228,1000080,DlyTotRet,Daily Total Return on Index,0.0013698981
19881229,1000080,DlyTotRet,Daily Total Return on Index,0.0067167224
19881230,1000080,DlyTotRet,Daily Total Return on Index,-0.001617794
19890103,1000080,DlyTotRet,Daily Total Return on Index,-0.0076081
19890104,1000080,DlyTotRet,Daily Total Return on Index,0.0130254865
19890105,1000080,DlyTotRet,Daily Total Return on Index,0.0028840431
19890106,1000080,DlyTotRet,Daily Total Return on Index,0.0030469632
19890109,1000080,DlyTotRet,Daily Total Return on Index,0.0016062891
19890110,1000080,DlyTotRet,Daily Total Return on Index,-0.001983458
19890111,1000080,DlyTotRet,Daily Total Return on Index,0.0046697516
19890112,1000080,DlyTotRet,Daily Total Return on Index,0.0040518191
19890113,1000080,DlyTotRet,Daily Total Return on Index,0.0017302986
19890116,1000080,DlyTotRet,Daily Total Return on Index,0.0015119328
19890117,1000080,DlyTotRet,Daily Total Return on Index,-0.001782317
19890118,1000080,DlyTotRet,Daily Total Return on Index,0.0089918546
19890119,1000080,DlyTotRet,Daily Total Return on Index,0.0019551928
19890120,1000080,DlyTotRet,Daily Total Return on Index,0.0000346705
19890123,1000080,DlyTotRet,Daily Total Return on Index,-0.005601941
19890124,1000080,DlyTotRet,Daily Total Return on Index,0.0099823038
19890125,1000080,DlyTotRet,Daily Total Return on Index,0.0027895316
19890126,1000080,DlyTotRet,Daily Total Return on Index,0.008072968
19890127,1000080,DlyTotRet,Daily Total Return on Index,0.0062182868
19890130,1000080,DlyTotRet,Daily Total Return on Index,0.0034417796
19890131,1000080,DlyTotRet,Daily Total Return on Index,0.0074501729
19890201,1000080,DlyTotRet,Daily Total Return on Index,0.0002027
19890202,1000080,DlyTotRet,Daily Total Return on Index,0.0004159119
19890203,1000080,DlyTotRet,Daily Total Return on Index,0.0014447016
19890206,1000080,DlyTotRet,Daily Total Return on Index,-0.0012527
19890207,1000080,DlyTotRet,Daily Total Return on Index,0.0102578916
19890208,1000080,DlyTotRet,Daily Total Return on Index,-0.00157956
19890209,1000080,DlyTotRet,Daily Total Return on Index,-0.006800865
19890210,1000080,DlyTotRet,Daily Total Return on Index,-0.011997147
19890213,1000080,DlyTotRet,Daily Total Return on Index,0.000511173
19890214,1000080,DlyTotRet,Daily Total Return on Index,-0.000504818
19890215,1000080,DlyTotRet,Daily Total Return on Index,0.0073345305
19890216,1000080,DlyTotRet,Daily Total Return on Index,0.0022137114
19890217,1000080,DlyTotRet,Daily Total Return on Index,0.0053565
19890221,1000080,DlyTotRet,Daily Total Return on Index,-0.00191758
19890222,1000080,DlyTotRet,Daily Total Return on Index,-0.014061119
19890223,1000080,DlyTotRet,Daily Total Return on Index,0.0029767818
19890224,1000080,DlyTotRet,Daily Total Return on Index,-0.012897925
19890227,1000080,DlyTotRet,Daily Total Return on Index,0.0008074083
19890228,1000080,DlyTotRet,Daily Total Return on Index,0.0033727941
19890301,1000080,DlyTotRet,Daily Total Return on Index,-0.003356076
19890302,1000080,DlyTotRet,Daily Total Return on Index,0.0085418411
19890303,1000080,DlyTotRet,Daily Total Return on Index,0.0039505129
19890306,1000080,DlyTotRet,Daily Total Return on Index,0.0099496606
19890307,1000080,DlyTotRet,Daily Total Return on Index,-0.001290587
19890308,1000080,DlyTotRet,Daily Total Return on Index,0.0010528042
19890309,1000080,DlyTotRet,Daily Total Return on Index,-0.000469526
19890310,1000080,DlyTotRet,Daily Total Return on Index,-0.002280818
19890313,1000080,DlyTotRet,Daily Total Return on Index,0.0061572918
19890314,1000080,DlyTotRet,Daily Total Return on Index,-0.000413166
19890315,1000080,DlyTotRet,Daily Total Return on Index,0.0040333404
19890316,1000080,DlyTotRet,Daily Total Return on Index,0.0078902729
19890317,1000080,DlyTotRet,Daily Total Return on Index,-0.019599213
19890320,1000080,DlyTotRet,Daily Total Return on Index,-0.009418176
19890321,1000080,DlyTotRet,Daily Total Return on Index,0.0046902328
19890322,1000080,DlyTotRet,Daily Total Return on Index,-0.002471516
19890323,1000080,DlyTotRet,Daily Total Return on Index,-0.00364574
19890327,1000080,DlyTotRet,Daily Total Return on Index,0.0035986205
19890328,1000080,DlyTotRet,Daily Total Return on Index,0.0036843836
19890329,1000080,DlyTotRet,Daily Total Return on Index,0.002497121
19890330,1000080,DlyTotRet,Daily Total Return on Index,0.0008872089
19890331,1000080,DlyTotRet,Daily Total Return on Index,0.0076897142
19890403,1000080,DlyTotRet,Daily Total Return on Index,0.0043921431
19890404,1000080,DlyTotRet,Daily Total Return on Index,-0.002066439
19890405,1000080,DlyTotRet,Daily Total Return on Index,0.0029562705
19890406,1000080,DlyTotRet,Daily Total Return on Index,-0.00221708
19890407,1000080,DlyTotRet,Daily Total Return on Index,0.0056288413
19890410,1000080,DlyTotRet,Daily Total Return on Index,0.0002887335
19890411,1000080,DlyTotRet,Daily Total Return on Index,0.0042670495
19890412,1000080,DlyTotRet,Daily Total Return on Index,0.0020707904
19890413,1000080,DlyTotRet,Daily Total Return on Index,-0.006790356
19890414,1000080,DlyTotRet,Daily Total Return on Index,0.0130981429
19890417,1000080,DlyTotRet,Daily Total Return on Index,0.0009170629
19890418,1000080,DlyTotRet,Daily Total Return on Index,0.0113361359
19890419,1000080,DlyTotRet,Daily Total Return on Index,0.0035836736
19890420,1000080,DlyTotRet,Daily Total Return on Index,-0.001686789
19890421,1000080,DlyTotRet,Daily Total Return on Index,0.007516654
19890424,1000080,DlyTotRet,Daily Total Return on Index,-0.00140996
19890425,1000080,DlyTotRet,Daily Total Return on Index,-0.003949584
19890426,1000080,DlyTotRet,Daily Total Return on Index,0.0013425754
19890427,1000080,DlyTotRet,Daily Total Return on Index,0.007118671
19890428,1000080,DlyTotRet,Daily Total Return on Index,0.0009532148
19890501,1000080,DlyTotRet,Daily Total Return on Index,-0.001275209
19890502,1000080,DlyTotRet,Daily Total Return on Index,-0.001634962
19890503,1000080,DlyTotRet,Daily Total Return on Index,0.0002130013
19890504,1000080,DlyTotRet,Daily Total Return on Index,-0.000110282
19890505,1000080,DlyTotRet,Daily Total Return on Index,0.0005022634
19890508,1000080,DlyTotRet,Daily Total Return on Index,-0.004458022
19890509,1000080,DlyTotRet,Daily Total Return on Index,-0.001659878
19890510,1000080,DlyTotRet,Daily Total Return on Index,0.0018144182
19890511,1000080,DlyTotRet,Daily Total Return on Index,0.0031363254
19890512,1000080,DlyTotRet,Daily Total Return on Index,0.0179399421
19890515,1000080,DlyTotRet,Daily Total Return on Index,0.0066946739
19890516,1000080,DlyTotRet,Daily Total Return on Index,-0.001439571
19890517,1000080,DlyTotRet,Daily Total Return on Index,0.0061518006
19890518,1000080,DlyTotRet,Daily Total Return on Index,0.0020420852
19890519,1000080,DlyTotRet,Daily Total Return on Index,0.0078849698
19890522,1000080,DlyTotRet,Daily Total Return on Index,0.0026501312
19890523,1000080,DlyTotRet,Daily Total Return on Index,-0.008574631
19890524,1000080,DlyTotRet,Daily Total Return on Index,0.0020814007
19890525,1000080,DlyTotRet,Daily Total Return on Index,0.0011909504
19890526,1000080,DlyTotRet,Daily Total Return on Index,0.0070719868
19890530,1000080,DlyTotRet,Daily Total Return on Index,-0.005591406
19890531,1000080,DlyTotRet,Daily Total Return on Index,0.0043280483
19890601,1000080,DlyTotRet,Daily Total Return on Index,0.0047176941
19890602,1000080,DlyTotRet,Daily Total Return on Index,0.0097318843
19890605,1000080,DlyTotRet,Daily Total Return on Index,-0.008004776
19890606,1000080,DlyTotRet,Daily Total Return on Index,0.0048007546
19890607,1000080,DlyTotRet,Daily Total Return on Index,0.0085659838
19890608,1000080,DlyTotRet,Daily Total Return on Index,0.0004035973
19890609,1000080,DlyTotRet,Daily Total Return on Index,0.0000754811
19890612,1000080,DlyTotRet,Daily Total Return on Index,-0.000861183
19890613,1000080,DlyTotRet,Daily Total Return on Index,-0.006233973
19890614,1000080,DlyTotRet,Daily Total Return on Index,-0.000588203
19890615,1000080,DlyTotRet,Daily Total Return on Index,-0.009897247
19890616,1000080,DlyTotRet,Daily Total Return on Index,0.0027733723
19890619,1000080,DlyTotRet,Daily Total Return on Index,0.0010492758
19890620,1000080,DlyTotRet,Daily Total Return on Index,-0.001628643
19890621,1000080,DlyTotRet,Daily Total Return on Index,-0.001629979
19890622,1000080,DlyTotRet,Daily Total Return on Index,0.0042673229
19890623,1000080,DlyTotRet,Daily Total Return on Index,0.0139111032
19890626,1000080,DlyTotRet,Daily Total Return on Index,-0.002615768
19890627,1000080,DlyTotRet,Daily Total Return on Index,0.0051595393
19890628,1000080,DlyTotRet,Daily Total Return on Index,-0.006380443
19890629,1000080,DlyTotRet,Daily Total Return on Index,-0.017409904
19890630,1000080,DlyTotRet,Daily Total Return on Index,-0.004576716
19890703,1000080,DlyTotRet,Daily Total Return on Index,0.0033918189
19890705,1000080,DlyTotRet,Daily Total Return on Index,0.0037728953
19890706,1000080,DlyTotRet,Daily Total Return on Index,0.0038467493
19890707,1000080,DlyTotRet,Daily Total Return on Index,0.0091602611
19890710,1000080,DlyTotRet,Daily Total Return on Index,0.0053699691
19890711,1000080,DlyTotRet,Daily Total Return on Index,0.0050749457
19890712,1000080,DlyTotRet,Daily Total Return on Index,0.0033407325
19890713,1000080,DlyTotRet,Daily Total Return on Index,0.000998548
19890714,1000080,DlyTotRet,Daily Total Return on Index,0.0038764947
19890717,1000080,DlyTotRet,Daily Total Return on Index,0.0022500523
19890718,1000080,DlyTotRet,Daily Total Return on Index,-0.00262078
19890719,1000080,DlyTotRet,Daily Total Return on Index,0.0107663424
19890720,1000080,DlyTotRet,Daily Total Return on Index,-0.005055464
19890721,1000080,DlyTotRet,Daily Total Return on Index,0.0042150744
19890724,1000080,DlyTotRet,Daily Total Return on Index,-0.00531915
19890725,1000080,DlyTotRet,Daily Total Return on Index,0.0006193671
19890726,1000080,DlyTotRet,Daily Total Return on Index,0.0101471653
19890727,1000080,DlyTotRet,Daily Total Return on Index,0.010047486
19890728,1000080,DlyTotRet,Daily Total Return on Index,0.0012991953
19890731,1000080,DlyTotRet,Daily Total Return on Index,0.0093163509
19890801,1000080,DlyTotRet,Daily Total Return on Index,-0.00417425
19890802,1000080,DlyTotRet,Daily Total Return on Index,0.0023434418
19890803,1000080,DlyTotRet,Daily Total Return on Index,0.0025514189
19890804,1000080,DlyTotRet,Daily Total Return on Index,-0.001923015
19890807,1000080,DlyTotRet,Daily Total Return on Index,0.0127444711
19890808,1000080,DlyTotRet,Daily Total Return on Index,0.0012032899
19890809,1000080,DlyTotRet,Daily Total Return on Index,-0.004196078
19890810,1000080,DlyTotRet,Daily Total Return on Index,0.0037575566
19890811,1000080,DlyTotRet,Daily Total Return on Index,-0.007450229
19890814,1000080,DlyTotRet,Daily Total Return on Index,-0.004566046
19890815,1000080,DlyTotRet,Daily Total Return on Index,0.0035956108
